model,shift,acc,cons
resnet50,0,0.966,1.0
resnet50,8,0.9604999999999999,0.986
resnet50,16,0.9604999999999999,0.9870000000000001
resnet50,32,0.954,0.9784999999999999
vit_b16,0,0.968,1.0
vit_b16,8,0.972,0.9845
vit_b16,16,0.9664999999999999,0.992
vit_b16,32,0.9635,0.987
clip,0,0.936,1.0
clip,8,0.9484999999999999,0.9605
clip,16,0.941,0.9549999999999998
clip,32,0.928,0.9644999999999999
clip_zero_shot,0,0.936,1.0
clip_zero_shot,8,0.9484999999999999,0.9605
clip_zero_shot,16,0.941,0.9549999999999998
clip_zero_shot,32,0.928,0.9644999999999999
